,Date,Open,High,Low,Close,Volume,Adj Close
302,2021-09-15,48142.79,48505.0,47034.53,47750.76,11666.15519,47750.76
303,2021-09-16,47750.75,48159.47,46751.0,47300.0,8914.53051,47300.0
304,2021-09-17,47301.0,48831.51,47012.77,48301.46,8619.57809,48301.46
305,2021-09-18,48301.46,48379.9,46845.82,47251.77,7978.08045,47251.77
306,2021-09-19,47251.77,47346.77,42500.0,43010.83,24316.501458,43010.83
307,2021-09-20,43008.65,43632.9,39570.0,40724.57,24096.578857,40724.57
308,2021-09-21,40731.73,44020.38,40570.28,43559.0,16578.315376,43559.0
309,2021-09-22,43559.01,45000.0,43091.39,44884.62,13438.72058,44884.62
310,2021-09-23,44884.62,45164.05,40700.0,42840.18,22226.43538,42840.18
311,2021-09-24,42840.19,42985.0,41671.12,42695.78,10393.48248,42695.78
312,2021-09-25,42692.91,43956.52,40780.01,43181.73,15227.10806,43181.73
313,2021-09-26,43181.73,44365.0,42112.34,42167.08,11228.22353,42167.08
314,2021-09-27,42167.09,42778.06,40891.83,41024.26,12491.35908,41024.26
315,2021-09-28,41024.27,42600.1,40748.03,41523.02,10493.83731,41523.02
316,2021-09-29,41523.01,44111.83,41408.9,43818.22,13226.5603,43818.22
317,2021-09-30,43823.18,48480.91,43300.0,48163.64,18601.52499,48163.64
318,2021-10-01,48163.63,48349.94,47441.54,47659.18,8254.80491,47659.18
319,2021-10-02,47659.22,49252.36,47126.0,48228.72,8198.05101,48228.72
320,2021-10-03,48228.72,49500.0,46929.29,49238.09,13166.79745,49238.09
321,2021-10-04,49228.15,51900.0,49050.88,51493.6,13295.21936,51493.6
322,2021-10-05,51498.5,55790.21,50411.31,55334.18,17619.664424,55334.18
323,2021-10-06,55334.19,55348.01,53340.0,53792.44,12334.28712,53792.44
324,2021-10-07,53797.16,56123.0,53627.01,53954.99,11480.949525,53954.99
325,2021-10-08,53955.0,55496.95,53673.47,54969.0,7951.63635,54969.0
326,2021-10-09,54969.0,56580.0,54101.71,54689.0,11623.565749,54689.0
327,2021-10-10,54688.96,57900.42,54442.85,57480.27,13249.245681,57480.27
328,2021-10-11,57487.79,57680.0,53912.93,56004.33,15397.40734,56004.33
329,2021-10-12,56004.33,57780.0,54261.59,57367.64,13754.95794,57367.64
330,2021-10-13,57367.65,58535.23,56824.32,57350.09,10694.503271,57350.09
331,2021-10-14,57350.08,62888.88,56879.78,61669.34,20243.583003,61669.34
332,2021-10-15,61668.94,62352.54,60158.01,60878.95,9624.27049,60878.95
333,2021-10-16,60878.96,61710.0,58950.0,61510.94,10279.31116,61510.94
334,2021-10-17,61525.57,62678.14,59850.0,62011.55,14576.96947,62011.55
335,2021-10-18,62004.63,64490.0,61357.2,64282.61,14120.611002,64282.61
336,2021-10-19,64291.0,66998.0,63502.0,66018.41,12114.069776,66018.41
337,2021-10-20,66018.41,66649.69,62001.0,62199.17,18273.92278,62199.17
338,2021-10-21,62199.17,63746.61,59931.37,60677.78,14284.99518,60677.78
339,2021-10-22,60677.79,61737.78,59619.37,61279.94,7845.1731,61279.94
340,2021-10-23,61279.94,61480.0,59523.0,60858.0,9103.99297,60858.0
341,2021-10-24,60858.0,63699.99,60657.77,63072.07,10175.24136,63072.07
342,2021-10-25,63072.08,63285.0,59850.0,60321.97,10749.40364,60321.97
343,2021-10-26,60325.19,61497.28,58010.0,58438.63,15569.46547,58438.63
344,2021-10-27,58448.72,62570.03,57800.0,60593.95,15618.52465,60593.95
